Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status
T0014,2020-06-19,C2992,Coffee Machine,696,905.51,Credit Card,Failed
T0035,2022-07-25,C2579,Coffee Machine,485,970.28,Credit Card,Completed
T0053,2022-07-22,C1077,Laptop,559,154.19,Credit Card,Failed
T0055,2024-04-17,C2474,Coffee Machine,867,130.23,Credit Card,Pending
T0112,2024-09-06,C4249,Laptop,723,90.35,Credit Card,Failed
T0143,2022-06-28,C3555,Smartphone,3,625.38,Credit Card,Completed
T0144,2020-02-03,C4891,Coffee Machine,8,375.97,PayPal,Completed
T0157,2021-02-01,C2917,Coffee Machine,304,863.77,Credit Card,Pending
T0175,2020-09-26,C4393,Laptop,505,213.46,Cash,Completed
T0179,2021-08-19,C4160,Tablet,622,121.82,Cash,Completed
T0181,2022-05-04,C887,Smartphone,359,365.48,Credit Card,Failed
T0182,2021-07-24,C4140,Coffee Machine,916,516.11,Credit Card,Pending
T0185,2024-05-14,C4308,Smartphone,779,388.04,PayPal,Completed
T0189,2022-08-19,C047,Smartphone,10,252.64,PayPal,Completed
T0225,2023-04-18,C298,Tablet,10,282.01,PayPal,Failed
T0248,2024-07-10,C2496,Head,431,242.13,PayPal,Failed
T0251,2023-04-17,C3631,Headphones,212,873.74,Credit Card,Failed
T0254,2021-11-14,C2859,Coffee Machine,165,115.37,Credit Card,Completed
T0274,2023-02-08,C2934,Coffee Machine,8,58.9,PayPal,Failed
T0284,2022-10-04,C1301,Laptop,222,698.66,Cash,Pending
T0294,2023-07-24,C1719,Laptop,3,581.88,Credit Card,Completed
T0304,2022-04-12,C1803,Laptop,5,140.62,PayPal,Completed
T0358,2022-01-26,C215,Headphones,481,505.1,Cash,Completed
T0475,2020-08-27,C3914,Tablet,3,73.31,PayPal,Completed
T0478,2024-06-26,C4896,Headphones,178,124.31,Cash,Completed
T0526,2024-12-11,C3889,Coffee Machine,3,901.39,PayPal,Failed
T0534,2023-04-18,C2446,Smartph,451,318.05,PayPal,Failed
T0551,2024-10-20,C1351,Coffee Machine,7,677.9,PayPal,Completed
T0565,2023-11-25,C577,Headphones,777,740.84,PayPal,Failed
T0596,2020-05-25,C4981,Smartphone,980,930.04,Credit Card,Failed
T0632,2020-04-13,C1982,Headphones,638,362.29,Credit Card,Failed
T0638,2024-07-19,C3044,Tablet,4,464.52,PayPal,Completed
T0675,2021-07-28,C2617,Laptop,2,235.73,Credit Card,Completed
T0698,2022-01-23,C1771,Tablet,169,320.65,Credit Card,Completed
T0708,2023-10-10,C919,Tablet,163,119.55,Cash,Completed
T0713,2022-01-20,C675,Hea,8,808.57,PayPal,Completed
T0747,2020-01-22,C4819,Smartphone,6,580.58,PayPal,Completed
T0749,2023-11-03,C3051,Coffee Machine,1,532.78,Credit Card,Pending
T0767,2021-03-06,C3584,Headphones,6,666.01,PayPal,Pending
T0788,2021-01-16,C4735,Tablet,831,261.03,Cash,Failed
T0839,2024-02-22,C205,Smartphone,368,305.09,Credit Card,Failed
T0876,2020-05-13,C1034,Headphones,261,332.32,PayPal,Completed
T0878,2024-09-27,C4449,Tablet,5,948.88,PayPal,Failed
T0889,2023-07-27,C3024,Smartphone,5,784.02,Credit Card,Completed
T0923,2020-09-22,C2065,Smartphone,5,838.47,Credit Card,Completed
T0924,2025-01-29,C127,Headphones,389,335.4,Credit Card,Completed
T0994,2025-01-17,C2063,Smartphone,4,901.77,PayPal,Completed
T1030,2023-10-22,C3820,Smartphone,3,623.32,PayPal,Completed
T1035,2023-04-11,C1503,Tablet,322,804.09,PayPal,Failed
T1050,2023-08-14,C3701,Tablet,886,206.93,Credit Card,Pending
T1052,2020-05-15,C2806,Smartphone,9,228.16,Cash,Failed
T1117,2022-03-15,C3855,Headphones,174,104.65,Credit Card,Pending
T1128,2021-03-06,C3808,Headphones,634,474.95,Credit Card,Completed
T1136,2020-01-31,C3769,Tablet,4,156.42,PayPal,Completed
T1144,2022-12-28,C918,Headphones,702,777.65,PayPal,Completed
T1217,2021-08-18,C3728,Tablet,962,748.66,PayPal,Completed
T1230,2021-10-15,C4483,Laptop,10,409.37,Credit Card,Completed
T1284,2022-01-24,C3476,Laptop,1,853.5,Cash,Pending
T1311,2021-10-04,C1550,Laptop,10,673.07,Cash,Failed
T1343,2021-04-24,C692,Smartphone,4,61.18,Credit Card,Completed
T1355,2024-07-03,C3036,Tablet,5,668.4,Credit Card,Completed
T1437,2022-08-29,C2581,Laptop,9,761.08,Credit Card,Completed
T1440,2022-10-14,C2210,Headphones,242,815.63,Cash,Completed
T1471,2024-10-16,C1465,Coffee Machine,3,78.59,PayPal,Failed
T1479,2023-06-13,C2508,Smartphone,6,214.78,Cash,Pending
T1493,2021-02-25,C2879,Smartphone,1,715.51,Credit Card,Pending
T1541,2024-04-09,C4694,Tablet,6,571.43,Credit Card,Completed
T1551,2024-07-27,C4361,Laptop,10,417.27,PayPal,Completed
T1581,2023-11-20,C1421,Smartphone,688,226.75,Cash,Completed
T1589,2024-12-15,C4976,Headphones,4,109.74,PayPal,Pending
T1595,2020-08-18,C296,Laptop,367,762.18,Credit Card,Pending
T1603,2022-02-21,C2538,Coffee Machine,6,811.47,Credit Card,Completed
T1626,2023-07-25,C2032,Headphones,755,178.4,Cash,Completed
T1637,2024-01-12,C199,Coffee Machine,727,765.16,Credit Card,Completed
T1655,2022-08-28,C447,Lapto,397,978.1,Credit Card,Pending
T1663,2024-12-24,C4268,Smartphone,3,324.23,PayPal,Failed
T1684,2023-01-28,C899,Headphones,3,870.37,Credit Card,Completed
T1700,2022-03-26,C4175,Headphones,2,433.98,PayPal,Completed
T1702,2020-01-09,C2972,Laptop,6,902.77,Credit Card,Pending
